City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
172,egvekinot,66.3167,-179.1667,-21.66,87,100,11.21,RU,1675621303
173,vanderhoof,54.0166,-124.0198,31.19,89,95,3.85,CA,1675621304
174,tessalit,20.1986,1.0114,75.79,10,70,9.8,ML,1675621282
175,padang,-0.9492,100.3543,71.65,79,100,2.86,ID,1675621304
176,yuancheng,36.652,107.7896,31.1,31,62,3.87,CN,1675621305
177,diamantino,-14.4086,-56.4461,86.14,59,85,1.66,BR,1675621305
178,qeshm,26.9581,56.2719,67.89,68,0,12.84,IR,1675621306
179,olafsvik,64.8945,-23.7142,44.91,91,94,40.02,IS,1675621188
180,yulara,-25.2406,130.9889,69.71,23,0,9.17,AU,1675621010
181,portland,45.5234,-122.6762,49.6,91,75,14.0,US,1675621306
182,lesnoy,57.6198,63.0784,3.97,99,99,2.55,RU,1675621307
183,sisimiut,66.9395,-53.6735,-4.14,96,100,7.94,GL,1675621040
184,cayenne,4.9333,-52.3333,73.44,100,75,0.0,GF,1675620823
185,baiyin,36.5583,104.2081,26.26,37,59,2.39,CN,1675621308
186,baglung,28.2719,83.5898,52.25,69,58,4.94,NP,1675621308
187,klaksvik,62.2266,-6.589,47.32,93,100,34.0,FO,1675621309
188,necochea,-38.5473,-58.7368,89.58,29,53,3.0,AR,1675621309
189,kupang,-10.1667,123.5833,76.75,87,95,8.77,ID,1675621182
190,touros,-5.1989,-35.4608,84.79,65,84,13.09,BR,1675621310
191,yumen,40.2833,97.2,25.61,41,3,8.97,CN,1675621310
192,grenfell,-33.9,148.1667,59.41,47,0,3.96,AU,1675621310
193,luganville,-15.5333,167.1667,80.53,86,98,14.16,VU,1675621311
194,ponta do sol,32.6667,-17.1,63.23,50,32,4.18,PT,1675621311
195,sao joao da barra,-21.6403,-41.0511,91.49,77,12,10.78,BR,1675621312
196,nsanje,-16.92,35.262,75.58,90,79,2.68,MW,1675621312
197,rabo de peixe,37.8,-25.5833,60.31,77,40,10.36,PT,1675621185
198,izumo,35.3667,132.7667,31.95,80,3,5.97,JP,1675621313
199,monrovia,6.3005,-10.7969,82.17,80,87,10.58,LR,1675621020
200,gafanha da encarnacao,40.6181,-8.733,59.05,49,0,4.0,PT,1675621313
201,guerrero negro,27.9769,-114.0611,63.63,64,0,13.02,MX,1675621313
202,atlantic city,39.3643,-74.4229,48.13,65,87,8.01,US,1675621118
203,santa cruz,-17.8,-63.1667,84.25,65,75,11.5,BO,1675621314
204,porto novo,6.4965,2.6036,84.02,79,100,10.65,BJ,1675621314
205,calvinia,-31.4707,19.776,75.25,40,9,7.61,ZA,1675621315
206,murashi,59.3999,48.9615,7.83,99,100,2.51,RU,1675621315
207,shiloh,38.5614,-89.8973,57.11,44,0,8.05,US,1675621316
208,norman wells,65.282,-126.8329,-27.36,68,75,2.3,CA,1675621316
209,provideniya,64.3833,-173.3,0.9,96,97,10.0,RU,1675621317
210,hobyo,5.3505,48.5268,76.57,80,80,18.92,SO,1675621317
211,kahului,20.8947,-156.47,75.85,85,40,13.0,US,1675621019
212,port hardy,50.6996,-127.4199,42.98,93,75,6.91,CA,1675621092
213,chumikan,54.7183,135.315,-6.99,90,85,15.52,RU,1675621318
214,honiara,-9.4333,159.95,77.5,98,100,8.19,SB,1675621318
215,biltine,14.5333,20.9167,80.01,8,93,8.34,TD,1675621318
216,ola,59.5833,151.2833,-14.42,86,73,8.59,RU,1675621319
217,amahai,-3.3333,128.9167,77.14,84,100,6.96,ID,1675621319
